dataset,utterances,eer_pct,accuracy_pct,f1
In_The_Wild,31779,1.2776,98.7193,0.9898
ASVspoof2019,71237,0.4082,99.5901,0.9805
ASVspoof2021_LA,148176,1.1398,98.8615,0.9456
ASVspoof_2021_DF,533928,0.3088,99.6919,0.9474
ASVSpoof2024,680774,0.7708,99.2294,0.9813
Fake_or_Real,4528,0.9717,99.0504,0.9905
CodecFake,304241,0.8598,99.1405,0.9860
ADD_2022_track1,109199,5.1789,94.8223,0.9131
ADD_2022_track3,126861,0.4910,99.5081,0.9851
ADD_2023_Round_1,111976,0.7100,99.2891,0.9950
ADD_2023_Round_2,118477,0.8330,99.1678,0.9944
DIFFADD,3755,0.1496,99.8136,0.9954
LibriSeVoc,92407,0.3182,99.6808,0.9889
SONAR,3948,0.6584,99.3161,0.9941
AVERAGE,2341286,1.0054,98.9915,0.9776
POOLED,2341286,0.8923,99.1076,0.9804
